Salary,UndergradMajor,CompanySize,DevType,YearsCoding,LanguageWorkedWith,DatabaseWorkedWith,PlatformWorkedWith,FrameworkWorkedWith,Age,Country,Student,Currency,OpenSource
NA,Mathematics or statistics,20 to 99 employees,Full-stack developer,3-5 years,JavaScript;Python;HTML;CSS,"Redis;SQL Server;MySQL;PostgreSQL;Amazon RDS/Aurora;Microsoft Azure (Tables, CosmosDB, SQL, etc)",AWS;Azure;Linux;Firebase,Django;React,25 - 34 years old,Kenya,No,NA,No
51000,"A natural science (ex. biology, chemistry, physics)","10,000 or more employees",Database administrator;DevOps specialist;Full-stack developer;System administrator,30 or more years,JavaScript;Python;Bash/Shell,Redis;PostgreSQL;Memcached,Linux,Django,35 - 44 years old,United Kingdom,No,British pounds sterling (£),Yes
NA,"Computer science, computer engineering, or software engineering",20 to 99 employees,Engineering manager;Full-stack developer,24-26 years,NA,NA,NA,NA,NA,United States,No,NA,Yes
NA,"Computer science, computer engineering, or software engineering",100 to 499 employees,Full-stack developer,18-20 years,C#;JavaScript;SQL;TypeScript;HTML;CSS;Bash/Shell,"SQL Server;Microsoft Azure (Tables, CosmosDB, SQL, etc)",Azure,NA,35 - 44 years old,United States,No,U.S. dollars ($),No
260000,"Computer science, computer engineering, or software engineering","10,000 or more employees",Data or business analyst;Desktop or enterprise applications developer;Game or graphics developer;QA or test developer;Student,6-8 years,C;C++;Java;Matlab;R;SQL;Bash/Shell,SQL Server;PostgreSQL;Oracle;IBM Db2,Arduino;Windows Desktop or Server,NA,18 - 24 years old,South Africa,"Yes, part-time",South African rands (R),No
30000,"Computer science, computer engineering, or software engineering",10 to 19 employees,Back-end developer;Database administrator;Front-end developer;Full-stack developer,6-8 years,Java;JavaScript;Python;TypeScript;HTML;CSS,MongoDB,Linux,Angular;Node.js,18 - 24 years old,United Kingdom,No,British pounds sterling (£),No
120000,"Computer science, computer engineering, or software engineering","10,000 or more employees",Back-end developer;Front-end developer;Full-stack developer,9-11 years,JavaScript;HTML;CSS,MongoDB,Linux,Node.js;React,18 - 24 years old,United States,No,U.S. dollars ($),Yes
NA,"Computer science, computer engineering, or software engineering",10 to 19 employees,Designer;Front-end developer;QA or test developer,0-2 years,JavaScript;TypeScript;HTML;CSS,"MongoDB;MySQL;Microsoft Azure (Tables, CosmosDB, SQL, etc);Google Cloud Storage",Azure;Heroku,Angular;Node.js,25 - 34 years old,Nigeria,No,NA,Yes
250000,"Fine arts or performing arts (ex. graphic design, music, studio art)",100 to 499 employees,"Back-end developer;C-suite executive (CEO, CTO, etc.);Data or business analyst;Database administrator;DevOps specialist;Engineering manager;Full-stack developer;System administrator",30 or more years,Assembly;CoffeeScript;Erlang;Go;JavaScript;Lua;Python;Ruby;SQL;HTML;CSS;Bash/Shell,Redis;PostgreSQL;Amazon DynamoDB;Apache HBase;Apache Hive;Amazon Redshift;Amazon RDS/Aurora;Elasticsearch,Amazon Echo;AWS;iOS;Linux;Mac OS;Serverless,Hadoop;Node.js;React;Spark,35 - 44 years old,United States,No,U.S. dollars ($),Yes
NA,"Computer science, computer engineering, or software engineering",500 to 999 employees,Designer,0-2 years,NA,NA,NA,NA,NA,India,No,NA,Yes
